
ch 1/50, loss= 3.5559e-04, time= 211.4525, 
epoch 2/50, loss= 1.7512e-04, time= 211.2484, 
epoch 3/50, loss= 9.3636e-05, time= 212.1131, 
epoch 4/50, loss= 7.6706e-05, time= 294.1972, 
epoch 5/50, loss= 7.3131e-05, time= 340.8154, 
epoch 6/50, loss= 6.5777e-05, time= 329.5110, 
epoch 7/50, loss= 6.5654e-05, time= 338.5999, 
epoch 8/50, loss= 6.4426e-05, time= 222.2198, 
epoch 9/50, loss= 5.7676e-05, time= 212.1981, 
epoch 10/50, loss= 6.1812e-05, time= 211.5959, 
epoch 11/50, loss= 5.5962e-05, time= 211.8895, 
epoch 12/50, loss= 5.5724e-05, time= 211.5344, 
epoch 13/50, loss= 5.7965e-05, time= 211.8029, 
epoch 14/50, loss= 5.2634e-05, time= 211.6919, 
epoch 15/50, loss= 5.2455e-05, time= 212.0440, 
epoch 16/50, loss= 5.7886e-05, time= 211.5550, 
epoch 17/50, loss= 5.0617e-05, time= 212.3391, 
epoch 18/50, loss= 5.3770e-05, time= 211.7034, 
epoch 19/50, loss= 4.9477e-05, time= 212.2838, 
epoch 20/50, loss= 4.8603e-05, time= 211.3191, 
epoch 21/50, loss= 4.9954e-05, time= 211.9589, 
epoch 22/50, loss= 4.9663e-05, time= 211.4334, 
epoch 23/50, loss= 4.8411e-05, time= 211.8563, 
epoch 24/50, loss= 4.7773e-05, time= 211.4919, 
epoch 25/50, loss= 4.9049e-05, time= 211.8514, 
epoch 26/50, loss= 4.6904e-05, time= 211.6554, 
epoch 27/50, loss= 5.3358e-05, time= 212.1111, 
epoch 28/50, loss= 5.0172e-05, time= 211.7255, 
epoch 29/50, loss= 4.6262e-05, time= 212.1072, 
epoch 30/50, loss= 4.6379e-05, time= 211.7550, 
epoch 31/50, loss= 5.0448e-05, time= 212.1079, 
epoch 32/50, loss= 4.8389e-05, time= 211.7159, 
epoch 33/50, loss= 4.8865e-05, time= 212.1016, 
epoch 34/50, loss= 4.7922e-05, time= 211.5999, 
epoch 35/50, loss= 4.5234e-05, time= 212.3716, 
epoch 36/50, loss= 4.6620e-05, time= 211.6859, 
epoch 37/50, loss= 4.7371e-05, time= 212.0078, 
epoch 38/50, loss= 4.6908e-05, time= 211.6685, 
epoch 39/50, loss= 4.6092e-05, time= 212.0705, 
epoch 40/50, loss= 4.8659e-05, time= 211.0515, 
epoch 41/50, loss= 4.5622e-05, time= 211.6605, 
epoch 42/50, loss= 4.4023e-05, time= 211.4063, 
epoch 43/50, loss= 4.4654e-05, time= 211.3622, 
epoch 44/50, loss= 4.5221e-05, time= 211.3606, 
epoch 45/50, loss= 4.8615e-05, time= 211.7817, 
epoch 46/50, loss= 4.3877e-05, time= 211.0129, 
epoch 47/50, loss= 4.2227e-05, time= 211.7148, 
epoch 48/50, loss= 4.2506e-05, time= 211.1042, 
epoch 49/50, loss= 4.3700e-05, time= 211.5535, 
epoch 50/50, loss= 4.5983e-05, time= 211.3792,
