epoch 1/50, loss= 4.9567e-04, sim_loss= 4.9567e-04, seg_loss= -0.1702, smooth_loss= 8.0746e-05, time= 5.8766 
epoch 2/50, loss= 4.7824e-04, sim_loss= 4.7824e-04, seg_loss= -0.1697, smooth_loss= 2.2375e-04, time= 5.7174 
epoch 3/50, loss= 4.0340e-04, sim_loss= 4.0340e-04, seg_loss= -0.1698, smooth_loss= 1.0403e-03, time= 5.7146 
epoch 4/50, loss= 3.0433e-04, sim_loss= 3.0433e-04, seg_loss= -0.1698, smooth_loss= 3.5743e-03, time= 5.8807 
epoch 5/50, loss= 2.4214e-04, sim_loss= 2.4214e-04, seg_loss= -0.1701, smooth_loss= 6.0423e-03, time= 5.7511 
epoch 6/50, loss= 1.9850e-04, sim_loss= 1.9850e-04, seg_loss= -0.1705, smooth_loss= 8.0709e-03, time= 5.6931 
epoch 7/50, loss= 1.8342e-04, sim_loss= 1.8342e-04, seg_loss= -0.1717, smooth_loss= 1.0156e-02, time= 5.7850 
epoch 8/50, loss= 1.6291e-04, sim_loss= 1.6291e-04, seg_loss= -0.1728, smooth_loss= 1.2690e-02, time= 5.8850 
epoch 9/50, loss= 1.5295e-04, sim_loss= 1.5295e-04, seg_loss= -0.1737, smooth_loss= 1.4857e-02, time= 5.7835 
epoch 10/50, loss= 1.4759e-04, sim_loss= 1.4759e-04, seg_loss= -0.1741, smooth_loss= 1.6639e-02, time= 5.7146 
epoch 11/50, loss= 1.4410e-04, sim_loss= 1.4410e-04, seg_loss= -0.1739, smooth_loss= 1.7482e-02, time= 5.9140 
epoch 12/50, loss= 1.3826e-04, sim_loss= 1.3826e-04, seg_loss= -0.1748, smooth_loss= 1.8616e-02, time= 5.7415 
epoch 13/50, loss= 1.3802e-04, sim_loss= 1.3802e-04, seg_loss= -0.1740, smooth_loss= 1.9420e-02, time= 5.7485 
epoch 14/50, loss= 1.3195e-04, sim_loss= 1.3195e-04, seg_loss= -0.1745, smooth_loss= 2.0403e-02, time= 5.7322 
epoch 15/50, loss= 1.3247e-04, sim_loss= 1.3247e-04, seg_loss= -0.1746, smooth_loss= 2.1234e-02, time= 5.9100 
epoch 16/50, loss= 1.2638e-04, sim_loss= 1.2638e-04, seg_loss= -0.1749, smooth_loss= 2.2293e-02, time= 5.7512 
epoch 17/50, loss= 1.2434e-04, sim_loss= 1.2434e-04, seg_loss= -0.1760, smooth_loss= 2.3416e-02, time= 5.7905 
epoch 18/50, loss= 1.2251e-04, sim_loss= 1.2251e-04, seg_loss= -0.1753, smooth_loss= 2.4188e-02, time= 5.8206 
epoch 19/50, loss= 1.2238e-04, sim_loss= 1.2238e-04, seg_loss= -0.1750, smooth_loss= 2.4808e-02, time= 5.7416 
epoch 20/50, loss= 1.1865e-04, sim_loss= 1.1865e-04, seg_loss= -0.1756, smooth_loss= 2.5446e-02, time= 5.7220 
epoch 21/50, loss= 1.1840e-04, sim_loss= 1.1840e-04, seg_loss= -0.1764, smooth_loss= 2.6205e-02, time= 5.7232 
epoch 22/50, loss= 1.1642e-04, sim_loss= 1.1642e-04, seg_loss= -0.1753, smooth_loss= 2.6790e-02, time= 5.8900 
epoch 23/50, loss= 1.1331e-04, sim_loss= 1.1331e-04, seg_loss= -0.1755, smooth_loss= 2.8021e-02, time= 5.8651 
epoch 24/50, loss= 1.1220e-04, sim_loss= 1.1220e-04, seg_loss= -0.1756, smooth_loss= 2.8664e-02, time= 5.5928 
epoch 25/50, loss= 1.1210e-04, sim_loss= 1.1210e-04, seg_loss= -0.1756, smooth_loss= 2.9201e-02, time= 5.8988 
epoch 26/50, loss= 1.1112e-04, sim_loss= 1.1112e-04, seg_loss= -0.1761, smooth_loss= 2.9480e-02, time= 5.7356 
epoch 27/50, loss= 1.0882e-04, sim_loss= 1.0882e-04, seg_loss= -0.1763, smooth_loss= 3.0207e-02, time= 5.6307 
epoch 28/50, loss= 1.0902e-04, sim_loss= 1.0902e-04, seg_loss= -0.1765, smooth_loss= 3.0734e-02, time= 5.8507 
epoch 29/50, loss= 1.0738e-04, sim_loss= 1.0738e-04, seg_loss= -0.1759, smooth_loss= 3.1516e-02, time= 5.9157 
epoch 30/50, loss= 1.0946e-04, sim_loss= 1.0946e-04, seg_loss= -0.1763, smooth_loss= 3.1285e-02, time= 5.7537 
epoch 31/50, loss= 1.0471e-04, sim_loss= 1.0471e-04, seg_loss= -0.1764, smooth_loss= 3.2246e-02, time= 5.8925 
epoch 32/50, loss= 1.0412e-04, sim_loss= 1.0412e-04, seg_loss= -0.1761, smooth_loss= 3.2893e-02, time= 5.7576 
epoch 33/50, loss= 1.0406e-04, sim_loss= 1.0406e-04, seg_loss= -0.1758, smooth_loss= 3.3737e-02, time= 5.7786 
epoch 34/50, loss= 1.0374e-04, sim_loss= 1.0374e-04, seg_loss= -0.1764, smooth_loss= 3.3993e-02, time= 5.8041 
epoch 35/50, loss= 1.0334e-04, sim_loss= 1.0334e-04, seg_loss= -0.1762, smooth_loss= 3.4429e-02, time= 5.6164 
epoch 36/50, loss= 1.0165e-04, sim_loss= 1.0165e-04, seg_loss= -0.1760, smooth_loss= 3.5038e-02, time= 5.9469 
epoch 37/50, loss= 1.0013e-04, sim_loss= 1.0013e-04, seg_loss= -0.1761, smooth_loss= 3.5739e-02, time= 5.8299 
epoch 38/50, loss= 9.9980e-05, sim_loss= 9.9980e-05, seg_loss= -0.1767, smooth_loss= 3.6245e-02, time= 5.6482 
epoch 39/50, loss= 1.0281e-04, sim_loss= 1.0281e-04, seg_loss= -0.1757, smooth_loss= 3.5754e-02, time= 5.8446 
epoch 40/50, loss= 1.0005e-04, sim_loss= 1.0005e-04, seg_loss= -0.1758, smooth_loss= 3.6288e-02, time= 5.7653 
epoch 41/50, loss= 9.8266e-05, sim_loss= 9.8266e-05, seg_loss= -0.1770, smooth_loss= 3.7117e-02, time= 5.7382 
epoch 42/50, loss= 9.7684e-05, sim_loss= 9.7684e-05, seg_loss= -0.1769, smooth_loss= 3.7654e-02, time= 5.8290 
epoch 43/50, loss= 9.8622e-05, sim_loss= 9.8622e-05, seg_loss= -0.1762, smooth_loss= 3.7647e-02, time= 5.7555 
epoch 44/50, loss= 9.7541e-05, sim_loss= 9.7541e-05, seg_loss= -0.1763, smooth_loss= 3.8281e-02, time= 5.7148 
epoch 45/50, loss= 9.5992e-05, sim_loss= 9.5992e-05, seg_loss= -0.1764, smooth_loss= 3.8552e-02, time= 5.8782 
epoch 46/50, loss= 9.7161e-05, sim_loss= 9.7161e-05, seg_loss= -0.1761, smooth_loss= 3.8848e-02, time= 5.7135 
epoch 47/50, loss= 9.9893e-05, sim_loss= 9.9893e-05, seg_loss= -0.1762, smooth_loss= 3.8606e-02, time= 5.7191 
epoch 48/50, loss= 9.5500e-05, sim_loss= 9.5500e-05, seg_loss= -0.1770, smooth_loss= 3.9468e-02, time= 5.7372 
epoch 49/50, loss= 9.3930e-05, sim_loss= 9.3930e-05, seg_loss= -0.1771, smooth_loss= 3.9985e-02, time= 5.6016 
epoch 50/50, loss= 9.4087e-05, sim_loss= 9.4087e-05, seg_loss= -0.1768, smooth_loss= 4.0645e-02, time= 5.9082 

