Data loaded successfully. Total patients: 50
number of all params: 125330
number of trainable params: 125330
epoch 1/100, loss= 4.9508e-04, time= 9.6639 
epoch 2/100, loss= 3.9274e-04, time= 9.6332 
epoch 3/100, loss= 2.8575e-04, time= 9.6208 
epoch 4/100, loss= 2.4199e-04, time= 9.6310 
epoch 5/100, loss= 2.0560e-04, time= 9.6760 
epoch 6/100, loss= 1.8028e-04, time= 9.7200 
epoch 7/100, loss= 1.6601e-04, time= 9.7252 
epoch 8/100, loss= 1.5478e-04, time= 9.7157 
epoch 9/100, loss= 1.4753e-04, time= 9.7329 
epoch 10/100, loss= 1.4469e-04, time= 9.6905 
epoch 11/100, loss= 1.3945e-04, time= 9.7100 
epoch 12/100, loss= 1.3469e-04, time= 9.6794 
epoch 13/100, loss= 1.3244e-04, time= 9.6876 
epoch 14/100, loss= 1.2885e-04, time= 9.7057 
epoch 15/100, loss= 1.2625e-04, time= 9.6806 
epoch 16/100, loss= 1.2542e-04, time= 9.6897 
epoch 17/100, loss= 1.2198e-04, time= 9.6710 
epoch 18/100, loss= 1.1993e-04, time= 9.6957 
epoch 19/100, loss= 1.1911e-04, time= 9.6708 
epoch 20/100, loss= 1.1728e-04, time= 9.6769 
epoch 21/100, loss= 1.1567e-04, time= 9.6739 
epoch 22/100, loss= 1.1440e-04, time= 9.6892 
epoch 23/100, loss= 1.1261e-04, time= 9.6900 
epoch 24/100, loss= 1.1100e-04, time= 9.7196 
epoch 25/100, loss= 1.1016e-04, time= 9.8115 
epoch 26/100, loss= 1.0895e-04, time= 9.8225 
epoch 27/100, loss= 1.0741e-04, time= 9.8239 
epoch 28/100, loss= 1.0686e-04, time= 9.7480 
epoch 29/100, loss= 1.0608e-04, time= 9.7742 
epoch 30/100, loss= 1.0473e-04, time= 9.8484 
epoch 31/100, loss= 1.0488e-04, time= 9.7478 
epoch 32/100, loss= 1.0299e-04, time= 9.8384 
epoch 33/100, loss= 1.0226e-04, time= 9.8505 
epoch 34/100, loss= 1.0166e-04, time= 9.8103 
epoch 35/100, loss= 1.0127e-04, time= 9.8406 
epoch 36/100, loss= 1.0135e-04, time= 9.8117 
epoch 37/100, loss= 9.9676e-05, time= 9.8385 
epoch 38/100, loss= 9.9323e-05, time= 9.9057 
epoch 39/100, loss= 9.8774e-05, time= 9.8381 
epoch 40/100, loss= 9.7077e-05, time= 9.8231 
epoch 41/100, loss= 9.7698e-05, time= 9.8373 
epoch 42/100, loss= 9.6767e-05, time= 9.8376 
epoch 43/100, loss= 9.6387e-05, time= 9.8182 
epoch 44/100, loss= 9.5360e-05, time= 9.8279 
epoch 45/100, loss= 9.5230e-05, time= 9.9223 
epoch 46/100, loss= 9.5163e-05, time= 9.9643 
epoch 47/100, loss= 9.4848e-05, time= 9.7855 
epoch 48/100, loss= 9.5332e-05, time= 9.8665 
epoch 49/100, loss= 9.3011e-05, time= 9.8933 
epoch 50/100, loss= 9.3021e-05, time= 9.8975 
epoch 51/100, loss= 9.2599e-05, time= 9.8675 
epoch 52/100, loss= 9.1751e-05, time= 9.9098 
epoch 53/100, loss= 9.1666e-05, time= 9.8888 
epoch 54/100, loss= 9.0938e-05, time= 10.0185 
epoch 55/100, loss= 9.2757e-05, time= 9.8429 
epoch 56/100, loss= 9.0976e-05, time= 9.8289 
epoch 57/100, loss= 8.9976e-05, time= 9.9012 
epoch 58/100, loss= 8.9419e-05, time= 9.8731 
epoch 59/100, loss= 8.9132e-05, time= 9.8724 
epoch 60/100, loss= 8.9049e-05, time= 9.8976 
epoch 61/100, loss= 8.8998e-05, time= 9.9183 
epoch 62/100, loss= 8.8222e-05, time= 10.0851 
epoch 63/100, loss= 8.8218e-05, time= 9.8409 
epoch 64/100, loss= 8.8137e-05, time= 9.8318 
epoch 65/100, loss= 8.8431e-05, time= 9.8565 
epoch 66/100, loss= 8.7398e-05, time= 9.8699 
epoch 67/100, loss= 8.7096e-05, time= 9.8787 
epoch 68/100, loss= 8.6917e-05, time= 9.8947 
epoch 69/100, loss= 8.6220e-05, time= 9.8968 
epoch 70/100, loss= 8.5667e-05, time= 9.8724 
epoch 71/100, loss= 8.5493e-05, time= 9.8580 
epoch 72/100, loss= 8.5350e-05, time= 9.9457 
epoch 73/100, loss= 8.7886e-05, time= 9.9214 
epoch 74/100, loss= 8.5412e-05, time= 9.9121 
epoch 75/100, loss= 8.4215e-05, time= 9.9026 
epoch 76/100, loss= 8.4059e-05, time= 9.8759 
epoch 77/100, loss= 8.3868e-05, time= 9.9169 
epoch 78/100, loss= 8.3695e-05, time= 9.9598 
epoch 79/100, loss= 8.4088e-05, time= 9.9722 
epoch 80/100, loss= 8.3708e-05, time= 9.8992 
epoch 81/100, loss= 8.2935e-05, time= 9.8997 
epoch 82/100, loss= 8.2729e-05, time= 9.9318 
epoch 83/100, loss= 8.1905e-05, time= 9.9119 
epoch 84/100, loss= 8.1923e-05, time= 9.8825 
epoch 85/100, loss= 8.1981e-05, time= 10.0798 
epoch 86/100, loss= 8.1942e-05, time= 9.9780 
epoch 87/100, loss= 8.1492e-05, time= 9.9715 
epoch 88/100, loss= 8.1443e-05, time= 9.9629 
epoch 89/100, loss= 8.1461e-05, time= 9.9988 
epoch 90/100, loss= 8.0979e-05, time= 9.9804 
epoch 91/100, loss= 8.2411e-05, time= 9.9463 
epoch 92/100, loss= 8.0440e-05, time= 9.9439 
epoch 93/100, loss= 8.0353e-05, time= 9.9389 
epoch 94/100, loss= 7.9887e-05, time= 9.9067 
epoch 95/100, loss= 7.9842e-05, time= 9.9404 
epoch 96/100, loss= 7.9757e-05, time= 10.0468 
epoch 97/100, loss= 7.9778e-05, time= 10.0720 
epoch 98/100, loss= 7.9056e-05, time= 9.8893 
epoch 99/100, loss= 7.8887e-05, time= 10.0076 
epoch 100/100, loss= 7.8748e-05, time= 9.9079 

Evaluation started.
loss= 9.9851e-05, time= 59.0256 

