Data loaded successfully. Total patients: 50
number of all params: 513144
number of trainable params: 513144
epoch 1/300, loss= 5.0536e-04, time= 368.1452 
epoch 2/300, loss= 5.0033e-04, time= 367.3193 
epoch 3/300, loss= 4.9614e-04, time= 368.0384 
epoch 4/300, loss= 4.8936e-04, time= 367.7867 
epoch 5/300, loss= 4.7142e-04, time= 366.2658 
epoch 6/300, loss= 4.3737e-04, time= 368.7686 
epoch 7/300, loss= 4.0411e-04, time= 368.7169 
epoch 8/300, loss= 3.5164e-04, time= 366.8477 
epoch 9/300, loss= 3.0750e-04, time= 367.7993 
epoch 10/300, loss= 2.7128e-04, time= 367.5856 
epoch 11/300, loss= 2.4147e-04, time= 366.8048 
epoch 12/300, loss= 2.2241e-04, time= 367.6672 
epoch 13/300, loss= 2.0109e-04, time= 368.5390 
epoch 14/300, loss= 1.8732e-04, time= 366.1798 
epoch 15/300, loss= 1.7924e-04, time= 366.9917 
epoch 16/300, loss= 1.7019e-04, time= 367.9468 
epoch 17/300, loss= 1.6139e-04, time= 367.5762 
epoch 18/300, loss= 1.5753e-04, time= 367.3924 
epoch 19/300, loss= 1.5208e-04, time= 367.1604 
epoch 20/300, loss= 1.4830e-04, time= 368.0727 
epoch 21/300, loss= 1.4615e-04, time= 367.4273 
epoch 22/300, loss= 1.4277e-04, time= 367.9680 
epoch 23/300, loss= 1.3840e-04, time= 368.5014 
epoch 24/300, loss= 1.3564e-04, time= 367.8865 
epoch 25/300, loss= 1.3293e-04, time= 367.6587 
epoch 26/300, loss= 1.3097e-04, time= 367.0477 
epoch 27/300, loss= 1.2885e-04, time= 367.7145 
epoch 28/300, loss= 1.2689e-04, time= 367.2932 
epoch 29/300, loss= 1.2536e-04, time= 367.4339 
epoch 30/300, loss= 1.2468e-04, time= 367.8647 
epoch 31/300, loss= 1.2204e-04, time= 367.5458 
epoch 32/300, loss= 1.2061e-04, time= 367.1183 
epoch 33/300, loss= 1.2115e-04, time= 367.2937 
epoch 34/300, loss= 1.1799e-04, time= 368.5344 
epoch 35/300, loss= 1.1679e-04, time= 367.1616 
epoch 36/300, loss= 1.1539e-04, time= 367.9484 
epoch 37/300, loss= 1.1382e-04, time= 368.6234 
epoch 38/300, loss= 1.1266e-04, time= 366.6610 
epoch 39/300, loss= 1.1146e-04, time= 367.3800 
epoch 40/300, loss= 1.1042e-04, time= 367.3440 
epoch 41/300, loss= 1.0956e-04, time= 368.1302 
epoch 42/300, loss= 1.0848e-04, time= 367.7593 
epoch 43/300, loss= 1.0814e-04, time= 367.5199 
epoch 44/300, loss= 1.0783e-04, time= 367.4479 
epoch 45/300, loss= 1.0608e-04, time= 367.3460 
epoch 46/300, loss= 1.0489e-04, time= 366.9590 
epoch 47/300, loss= 1.0561e-04, time= 367.8686 
epoch 48/300, loss= 1.0613e-04, time= 368.0951 
epoch 49/300, loss= 1.0355e-04, time= 368.0666 
epoch 50/300, loss= 1.0202e-04, time= 366.7788 
epoch 51/300, loss= 1.0137e-04, time= 368.4360 
epoch 52/300, loss= 1.0104e-04, time= 368.0276 
epoch 53/300, loss= 1.0113e-04, time= 366.5689 
epoch 54/300, loss= 9.9054e-05, time= 368.2849 
epoch 55/300, loss= 9.8199e-05, time= 367.2360 
epoch 56/300, loss= 9.8556e-05, time= 367.2372 
epoch 57/300, loss= 9.7438e-05, time= 367.2785 
epoch 58/300, loss= 9.7049e-05, time= 368.3623 
epoch 59/300, loss= 9.6415e-05, time= 367.0204 
epoch 60/300, loss= 9.6452e-05, time= 367.8292 
epoch 61/300, loss= 9.6929e-05, time= 368.1705 
epoch 62/300, loss= 9.6251e-05, time= 348.9762 
epoch 63/300, loss= 9.4470e-05, time= 367.8097 
epoch 64/300, loss= 9.3707e-05, time= 366.9808 
epoch 65/300, loss= 9.4219e-05, time= 367.2941 
epoch 66/300, loss= 9.3279e-05, time= 368.0130 
epoch 67/300, loss= 9.2526e-05, time= 367.7826 
epoch 68/300, loss= 9.2194e-05, time= 366.9946 
epoch 69/300, loss= 9.2227e-05, time= 366.9582 
epoch 70/300, loss= 9.3592e-05, time= 367.5826 
epoch 71/300, loss= 9.2645e-05, time= 366.9404 
epoch 72/300, loss= 9.1247e-05, time= 367.1209 
epoch 73/300, loss= 8.9674e-05, time= 368.2104 
epoch 74/300, loss= 8.9974e-05, time= 350.4169 
epoch 75/300, loss= 8.9669e-05, time= 366.7331 
epoch 76/300, loss= 8.8769e-05, time= 367.3004 
epoch 77/300, loss= 8.8883e-05, time= 367.4933 
epoch 78/300, loss= 8.7655e-05, time= 368.0445 
epoch 79/300, loss= 8.7176e-05, time= 367.8385 
epoch 80/300, loss= 8.6676e-05, time= 366.8529 
epoch 81/300, loss= 8.6240e-05, time= 368.2353 
epoch 82/300, loss= 8.5632e-05, time= 367.3599 
epoch 83/300, loss= 8.5404e-05, time= 367.2967 
epoch 84/300, loss= 8.8354e-05, time= 368.1144 
epoch 85/300, loss= 8.7792e-05, time= 368.0152 
epoch 86/300, loss= 8.5470e-05, time= 367.3975 
epoch 87/300, loss= 8.4590e-05, time= 367.7183 
epoch 88/300, loss= 8.3611e-05, time= 367.8533 
epoch 89/300, loss= 8.3070e-05, time= 367.7907 
epoch 90/300, loss= 8.3748e-05, time= 367.9793 
epoch 91/300, loss= 8.5665e-05, time= 368.1020 
epoch 92/300, loss= 8.3732e-05, time= 366.7648 
