Data loaded successfully. Total patients: 50
number of all params: 199224
number of trainable params: 199224
epoch 1/250, loss= 5.1158e-04, time= 20.5082 
epoch 2/250, loss= 5.0448e-04, time= 20.4106 
epoch 3/250, loss= 5.0183e-04, time= 20.4234 
epoch 4/250, loss= 5.0064e-04, time= 20.4594 
epoch 5/250, loss= 4.9898e-04, time= 20.4325 
epoch 6/250, loss= 4.9559e-04, time= 20.4247 
epoch 7/250, loss= 4.9062e-04, time= 20.4167 
epoch 8/250, loss= 4.8359e-04, time= 20.4157 
epoch 9/250, loss= 4.7838e-04, time= 20.4093 
epoch 10/250, loss= 4.7110e-04, time= 20.4244 
epoch 11/250, loss= 4.6258e-04, time= 20.4191 
epoch 12/250, loss= 4.5582e-04, time= 20.4717 
epoch 13/250, loss= 4.4267e-04, time= 20.4295 
epoch 14/250, loss= 4.4262e-04, time= 20.4434 
epoch 15/250, loss= 4.1619e-04, time= 20.4255 
epoch 16/250, loss= 3.8915e-04, time= 20.4212 
epoch 17/250, loss= 3.7350e-04, time= 20.3923 
epoch 18/250, loss= 3.6404e-04, time= 20.3928 
epoch 19/250, loss= 3.4486e-04, time= 20.3953 
epoch 20/250, loss= 3.2164e-04, time= 20.4408 
epoch 21/250, loss= 3.0753e-04, time= 20.4057 
epoch 22/250, loss= 2.9740e-04, time= 20.3930 
epoch 23/250, loss= 2.8868e-04, time= 20.3896 
epoch 24/250, loss= 2.8024e-04, time= 20.3901 
epoch 25/250, loss= 2.7139e-04, time= 20.3833 
epoch 26/250, loss= 2.6275e-04, time= 20.3915 
epoch 27/250, loss= 2.5581e-04, time= 20.4062 
epoch 28/250, loss= 2.5310e-04, time= 20.4219 
epoch 29/250, loss= 2.4700e-04, time= 20.4753 
epoch 30/250, loss= 2.3725e-04, time= 20.4347 
epoch 31/250, loss= 2.3038e-04, time= 20.4248 
epoch 32/250, loss= 2.2609e-04, time= 20.4154 
epoch 33/250, loss= 2.2712e-04, time= 20.4152 
epoch 34/250, loss= 2.3674e-04, time= 20.4051 
epoch 35/250, loss= 2.2036e-04, time= 20.4228 
epoch 36/250, loss= 2.1106e-04, time= 20.4205 
epoch 37/250, loss= 2.0753e-04, time= 20.4863 
epoch 38/250, loss= 2.0824e-04, time= 20.4360 
epoch 39/250, loss= 2.0147e-04, time= 20.4290 
epoch 40/250, loss= 1.9649e-04, time= 20.4263 
epoch 41/250, loss= 2.0356e-04, time= 20.4141 
epoch 42/250, loss= 1.9652e-04, time= 20.4086 
epoch 43/250, loss= 1.9123e-04, time= 20.4187 
epoch 44/250, loss= 2.0383e-04, time= 20.4138 
epoch 45/250, loss= 2.1875e-04, time= 20.4547 
epoch 46/250, loss= 2.0681e-04, time= 20.4189 
epoch 47/250, loss= 1.9708e-04, time= 20.4242 
epoch 48/250, loss= 1.8583e-04, time= 20.4440 
epoch 49/250, loss= 1.8301e-04, time= 20.4301 
