Data loaded successfully. Total patients: 50
number of all params: 33696184
number of trainable params: 33696184
epoch 1/100, loss= 4.7451e-04, time= 17.5611 
epoch 2/100, loss= 4.7201e-04, time= 17.4291 
epoch 3/100, loss= 4.7120e-04, time= 17.4368 
epoch 4/100, loss= 4.6786e-04, time= 17.4377 
epoch 5/100, loss= 4.6174e-04, time= 17.4418 
epoch 6/100, loss= 4.4704e-04, time= 17.4511 
epoch 7/100, loss= 4.0676e-04, time= 17.4303 
epoch 8/100, loss= 3.8683e-04, time= 17.4421 
epoch 9/100, loss= 3.5048e-04, time= 17.4399 
epoch 10/100, loss= 3.2584e-04, time= 17.4462 
epoch 11/100, loss= 3.0772e-04, time= 17.4265 
epoch 12/100, loss= 2.8683e-04, time= 17.3962 
epoch 13/100, loss= 2.6519e-04, time= 17.3932 
epoch 14/100, loss= 2.4608e-04, time= 17.4030 
epoch 15/100, loss= 2.2992e-04, time= 17.4182 
epoch 16/100, loss= 2.1286e-04, time= 17.4184 
epoch 17/100, loss= 2.0258e-04, time= 17.4118 
epoch 18/100, loss= 1.9694e-04, time= 17.3963 
epoch 19/100, loss= 1.8823e-04, time= 17.4123 
epoch 20/100, loss= 1.8195e-04, time= 17.4177 
epoch 21/100, loss= 1.7481e-04, time= 17.4193 
epoch 22/100, loss= 1.6881e-04, time= 17.4136 
epoch 23/100, loss= 1.6462e-04, time= 17.4563 
epoch 24/100, loss= 1.5994e-04, time= 17.4143 
epoch 25/100, loss= 1.5619e-04, time= 17.4151 
epoch 26/100, loss= 1.5622e-04, time= 17.4048 
epoch 27/100, loss= 1.5812e-04, time= 17.4208 
epoch 28/100, loss= 1.5355e-04, time= 17.4251 
epoch 29/100, loss= 1.5040e-04, time= 17.4206 
epoch 30/100, loss= 1.4989e-04, time= 17.4160 
epoch 31/100, loss= 1.4698e-04, time= 17.4176 
epoch 32/100, loss= 1.4431e-04, time= 17.4198 
epoch 33/100, loss= 1.4470e-04, time= 17.4164 
epoch 34/100, loss= 1.4057e-04, time= 17.4209 
epoch 35/100, loss= 1.3762e-04, time= 17.4128 
epoch 36/100, loss= 1.3587e-04, time= 17.4105 
epoch 37/100, loss= 1.3478e-04, time= 17.4187 
epoch 38/100, loss= 1.3318e-04, time= 17.4302 
epoch 39/100, loss= 1.3260e-04, time= 17.4235 
epoch 40/100, loss= 1.3074e-04, time= 17.4262 
epoch 41/100, loss= 1.2992e-04, time= 17.4092 
epoch 42/100, loss= 1.2938e-04, time= 17.4048 
epoch 43/100, loss= 1.2891e-04, time= 17.4057 
epoch 44/100, loss= 1.3125e-04, time= 17.4001 
epoch 45/100, loss= 1.3100e-04, time= 17.3974 
epoch 46/100, loss= 1.2845e-04, time= 17.4055 
epoch 47/100, loss= 1.2584e-04, time= 17.4133 
epoch 48/100, loss= 1.2420e-04, time= 17.4064 
epoch 49/100, loss= 1.2382e-04, time= 17.4020 
epoch 50/100, loss= 1.2339e-04, time= 17.4035 
epoch 51/100, loss= 1.2343e-04, time= 17.4045 
epoch 52/100, loss= 1.2192e-04, time= 17.4136 
epoch 53/100, loss= 1.2061e-04, time= 17.3983 
epoch 54/100, loss= 1.1992e-04, time= 17.3948 
epoch 55/100, loss= 1.1961e-04, time= 17.3964 
epoch 56/100, loss= 1.1884e-04, time= 17.4027 
epoch 57/100, loss= 1.1740e-04, time= 17.4023 
epoch 58/100, loss= 1.1612e-04, time= 17.3999 
epoch 59/100, loss= 1.1534e-04, time= 17.4000 
epoch 60/100, loss= 1.1587e-04, time= 17.3992 
epoch 61/100, loss= 1.2015e-04, time= 17.3919 
epoch 62/100, loss= 1.1798e-04, time= 17.4010 
epoch 63/100, loss= 1.1991e-04, time= 17.4025 
epoch 64/100, loss= 1.1839e-04, time= 17.3988 
epoch 65/100, loss= 1.1375e-04, time= 17.3931 
epoch 66/100, loss= 1.1190e-04, time= 17.4022 
epoch 67/100, loss= 1.1142e-04, time= 17.4002 
epoch 68/100, loss= 1.1260e-04, time= 17.4057 
epoch 69/100, loss= 1.1339e-04, time= 17.4000 
epoch 70/100, loss= 1.1117e-04, time= 17.3987 
epoch 71/100, loss= 1.1037e-04, time= 17.3966 
epoch 72/100, loss= 1.1055e-04, time= 17.4028 
epoch 73/100, loss= 1.1108e-04, time= 17.4055 
epoch 74/100, loss= 1.1454e-04, time= 17.4011 
epoch 75/100, loss= 1.1477e-04, time= 17.3988 
epoch 76/100, loss= 1.1003e-04, time= 17.4053 
epoch 77/100, loss= 1.0906e-04, time= 17.4001 
epoch 78/100, loss= 1.0792e-04, time= 17.4088 
epoch 79/100, loss= 1.0696e-04, time= 17.3944 
epoch 80/100, loss= 1.0566e-04, time= 17.4090 
epoch 81/100, loss= 1.0502e-04, time= 17.3999 
epoch 82/100, loss= 1.0473e-04, time= 17.4021 
epoch 83/100, loss= 1.0441e-04, time= 17.4072 
epoch 84/100, loss= 1.0362e-04, time= 17.4140 
epoch 85/100, loss= 1.0358e-04, time= 17.4128 
epoch 86/100, loss= 1.0385e-04, time= 17.3996 
epoch 87/100, loss= 1.0450e-04, time= 17.4040 
epoch 88/100, loss= 1.0398e-04, time= 17.4019 
epoch 89/100, loss= 1.0405e-04, time= 17.4000 
epoch 90/100, loss= 1.0365e-04, time= 17.4066 
epoch 91/100, loss= 1.0371e-04, time= 17.3962 
epoch 92/100, loss= 1.0424e-04, time= 17.4318 
epoch 93/100, loss= 1.0516e-04, time= 17.4034 
epoch 94/100, loss= 1.0478e-04, time= 17.4046 
epoch 95/100, loss= 1.0246e-04, time= 17.3988 
epoch 96/100, loss= 1.0203e-04, time= 17.4022 
epoch 97/100, loss= 1.0278e-04, time= 17.4104 
epoch 98/100, loss= 1.0252e-04, time= 17.4026 
epoch 99/100, loss= 1.0466e-04, time= 17.4002 
epoch 100/100, loss= 1.0427e-04, time= 17.4005
