patient loaded successfully. Total patients: 50
number of all params: 33696184
number of trainable params: 33696184
epoch 1/250, loss= 4.7853e-04, time= 23.8274 
epoch 2/250, loss= 4.7288e-04, time= 23.9383 
epoch 3/250, loss= 4.6876e-04, time= 23.8974 
epoch 4/250, loss= 4.6799e-04, time= 23.3440 
epoch 5/250, loss= 4.6465e-04, time= 23.7243 
epoch 6/250, loss= 4.5142e-04, time= 23.7978 
epoch 7/250, loss= 4.2034e-04, time= 24.0100 
epoch 8/250, loss= 4.1458e-04, time= 23.3089 
epoch 9/250, loss= 3.7640e-04, time= 23.6937 
epoch 10/250, loss= 3.5398e-04, time= 23.6685 
epoch 11/250, loss= 3.2690e-04, time= 24.1544 
epoch 12/250, loss= 3.0521e-04, time= 23.3025 
epoch 13/250, loss= 2.9383e-04, time= 23.7717 
epoch 14/250, loss= 2.7445e-04, time= 23.7895 
epoch 15/250, loss= 2.5097e-04, time= 24.2034 
epoch 16/250, loss= 2.3871e-04, time= 23.2598 
epoch 17/250, loss= 2.2236e-04, time= 23.7322 
epoch 18/250, loss= 2.0861e-04, time= 23.7406 
epoch 19/250, loss= 1.9472e-04, time= 24.1945 
epoch 20/250, loss= 1.8671e-04, time= 23.3464 
epoch 21/250, loss= 1.8226e-04, time= 23.7017 
epoch 22/250, loss= 1.8260e-04, time= 23.7279 
epoch 23/250, loss= 1.8275e-04, time= 23.8877 
epoch 24/250, loss= 1.7054e-04, time= 23.5813 
epoch 25/250, loss= 1.6588e-04, time= 23.6055 
epoch 26/250, loss= 1.6057e-04, time= 23.9184 
epoch 27/250, loss= 1.5962e-04, time= 23.8974 
epoch 28/250, loss= 1.5608e-04, time= 23.5272 
epoch 29/250, loss= 1.5416e-04, time= 23.4994 
epoch 30/250, loss= 1.5164e-04, time= 23.9162 
epoch 31/250, loss= 1.4881e-04, time= 23.8993 
epoch 32/250, loss= 1.4666e-04, time= 23.5519 
epoch 33/250, loss= 1.4466e-04, time= 23.4790 
epoch 34/250, loss= 1.4246e-04, time= 23.7789 
epoch 35/250, loss= 1.4107e-04, time= 24.1649 
epoch 36/250, loss= 1.4139e-04, time= 23.6018 
epoch 37/250, loss= 1.4494e-04, time= 23.5223 
epoch 38/250, loss= 1.3927e-04, time= 23.7046 
epoch 39/250, loss= 1.3624e-04, time= 24.1796 
epoch 40/250, loss= 1.3640e-04, time= 23.5935 
epoch 41/250, loss= 1.3321e-04, time= 23.5101 
epoch 42/250, loss= 1.3266e-04, time= 23.8740 
epoch 43/250, loss= 1.3233e-04, time= 24.0299 
epoch 44/250, loss= 1.3064e-04, time= 23.5095 
epoch 45/250, loss= 1.3159e-04, time= 23.4712 
epoch 46/250, loss= 1.3145e-04, time= 23.6835 
epoch 47/250, loss= 1.3059e-04, time= 23.9229 
epoch 48/250, loss= 1.3010e-04, time= 23.6495 
epoch 49/250, loss= 1.2794e-04, time= 23.3642 
epoch 50/250, loss= 1.2762e-04, time= 23.8167 
epoch 51/250, loss= 1.2758e-04, time= 23.9110 
epoch 52/250, loss= 1.2674e-04, time= 23.8437 
epoch 53/250, loss= 1.2758e-04, time= 23.2515 
epoch 54/250, loss= 1.2749e-04, time= 24.0205 
epoch 55/250, loss= 1.2551e-04, time= 23.9013 
epoch 56/250, loss= 1.2248e-04, time= 23.7198 
epoch 57/250, loss= 1.2178e-04, time= 23.3964 
epoch 58/250, loss= 1.2053e-04, time= 24.0371 
epoch 59/250, loss= 1.1996e-04, time= 23.9195 
epoch 60/250, loss= 1.1854e-04, time= 23.6454 
epoch 61/250, loss= 1.1751e-04, time= 23.4781 
epoch 62/250, loss= 1.1690e-04, time= 24.0814 
epoch 63/250, loss= 1.1663e-04, time= 23.7588 
epoch 64/250, loss= 1.1663e-04, time= 23.5159 
epoch 65/250, loss= 1.1693e-04, time= 23.5044 
epoch 66/250, loss= 1.1862e-04, time= 23.8971 
epoch 67/250, loss= 1.1830e-04, time= 23.9611 
epoch 68/250, loss= 1.1687e-04, time= 23.5776 
epoch 69/250, loss= 1.1794e-04, time= 23.4983 
epoch 70/250, loss= 1.1971e-04, time= 23.9281 
epoch 71/250, loss= 1.1936e-04, time= 23.8771 
epoch 72/250, loss= 1.1860e-04, time= 23.6263 
epoch 73/250, loss= 1.1968e-04, time= 23.5089 
epoch 74/250, loss= 1.1757e-04, time= 23.8526 
epoch 75/250, loss= 1.1387e-04, time= 23.7507 
epoch 76/250, loss= 1.1122e-04, time= 23.7724 
epoch 77/250, loss= 1.1023e-04, time= 23.4776 
epoch 78/250, loss= 1.1015e-04, time= 23.7813 
epoch 79/250, loss= 1.1130e-04, time= 23.8568 
epoch 80/250, loss= 1.1541e-04, time= 23.6879 
epoch 81/250, loss= 1.1226e-04, time= 23.6444 
epoch 82/250, loss= 1.0998e-04, time= 23.7836 
epoch 83/250, loss= 1.0800e-04, time= 23.8808 
epoch 84/250, loss= 1.0816e-04, time= 23.5711 
epoch 85/250, loss= 1.0805e-04, time= 23.7100 
epoch 86/250, loss= 1.0727e-04, time= 23.7326 
epoch 87/250, loss= 1.0710e-04, time= 23.9777 
epoch 88/250, loss= 1.0617e-04, time= 23.5396 
epoch 89/250, loss= 1.0691e-04, time= 23.7084 
epoch 90/250, loss= 1.0608e-04, time= 23.6348 
epoch 91/250, loss= 1.0566e-04, time= 23.9848 
epoch 92/250, loss= 1.0488e-04, time= 23.5635 
epoch 93/250, loss= 1.0510e-04, time= 23.7497 
epoch 94/250, loss= 1.0489e-04, time= 23.6579 
epoch 95/250, loss= 1.0465e-04, time= 23.9605 
epoch 96/250, loss= 1.0716e-04, time= 23.6163 
epoch 97/250, loss= 1.1165e-04, time= 23.7232 
epoch 98/250, loss= 1.0830e-04, time= 23.6766 
epoch 99/250, loss= 1.1350e-04, time= 23.7401 
epoch 100/250, loss= 1.1394e-04, time= 23.8131 
epoch 101/250, loss= 1.0773e-04, time= 23.7129 
epoch 102/250, loss= 1.0919e-04, time= 23.7211 
epoch 103/250, loss= 1.0817e-04, time= 23.7398 
epoch 104/250, loss= 1.0602e-04, time= 23.8263 
epoch 105/250, loss= 1.0445e-04, time= 23.7085 
epoch 106/250, loss= 1.0326e-04, time= 23.6900 
epoch 107/250, loss= 1.0227e-04, time= 23.6767 
epoch 108/250, loss= 1.0273e-04, time= 23.7272 
epoch 109/250, loss= 1.0236e-04, time= 23.8083 
epoch 110/250, loss= 1.0128e-04, time= 23.6962 
epoch 111/250, loss= 1.0052e-04, time= 23.7642 
epoch 112/250, loss= 1.0009e-04, time= 23.5488 
epoch 113/250, loss= 9.9574e-05, time= 23.9760 
epoch 114/250, loss= 9.9697e-05, time= 23.4990 
epoch 115/250, loss= 1.0025e-04, time= 23.9550 
epoch 116/250, loss= 1.0062e-04, time= 23.5813 
epoch 117/250, loss= 9.9997e-05, time= 23.9682 
epoch 118/250, loss= 9.8590e-05, time= 23.4334 
epoch 119/250, loss= 9.8157e-05, time= 23.9696 
epoch 120/250, loss= 9.7435e-05, time= 23.5679 
epoch 121/250, loss= 9.6537e-05, time= 23.8771 
epoch 122/250, loss= 9.5844e-05, time= 23.5791 
epoch 123/250, loss= 9.6001e-05, time= 23.8502 
epoch 124/250, loss= 9.5842e-05, time= 23.6989 
epoch 125/250, loss= 9.6300e-05, time= 23.6569 
epoch 126/250, loss= 9.6599e-05, time= 23.7035 
epoch 127/250, loss= 9.6449e-05, time= 23.6886 
epoch 128/250, loss= 9.5649e-05, time= 23.8322 
epoch 129/250, loss= 9.5306e-05, time= 23.7477 
epoch 130/250, loss= 9.6482e-05, time= 23.6851 
epoch 131/250, loss= 9.7974e-05, time= 23.7088 
epoch 132/250, loss= 9.8462e-05, time= 23.8151 
epoch 133/250, loss= 9.9486e-05, time= 23.7331 
epoch 134/250, loss= 9.6799e-05, time= 23.6852 
epoch 135/250, loss= 9.5875e-05, time= 23.7767 
epoch 136/250, loss= 9.4339e-05, time= 23.6271 
epoch 137/250, loss= 9.4997e-05, time= 23.9076 
epoch 138/250, loss= 9.5550e-05, time= 23.7259 
epoch 139/250, loss= 9.4367e-05, time= 23.7335 
epoch 140/250, loss= 9.5269e-05, time= 23.6256 
epoch 141/250, loss= 9.5329e-05, time= 23.9500 
epoch 142/250, loss= 9.5304e-05, time= 23.7341 
epoch 143/250, loss= 9.6083e-05, time= 23.7238 
epoch 144/250, loss= 9.5510e-05, time= 23.5791 
epoch 145/250, loss= 9.6409e-05, time= 23.8002 
epoch 146/250, loss= 9.5199e-05, time= 23.7685 
epoch 147/250, loss= 9.5153e-05, time= 23.6422 
epoch 148/250, loss= 9.8022e-05, time= 23.6639 
epoch 149/250, loss= 9.5666e-05, time= 23.7098 
epoch 150/250, loss= 9.2447e-05, time= 23.9394 
epoch 151/250, loss= 9.0875e-05, time= 23.6226 
epoch 152/250, loss= 9.1093e-05, time= 23.6960 
epoch 153/250, loss= 9.2441e-05, time= 23.7422 
epoch 154/250, loss= 9.2292e-05, time= 23.9606 
epoch 155/250, loss= 9.2718e-05, time= 23.5327 
epoch 156/250, loss= 9.3107e-05, time= 23.8065 
epoch 157/250, loss= 9.2692e-05, time= 23.7622 
epoch 158/250, loss= 9.0206e-05, time= 23.9375 
epoch 159/250, loss= 8.9402e-05, time= 23.5079 
epoch 160/250, loss= 8.9969e-05, time= 23.8057 
epoch 161/250, loss= 9.0177e-05, time= 23.6624 
epoch 162/250, loss= 9.1063e-05, time= 23.8949 
epoch 163/250, loss= 8.8889e-05, time= 23.5236 
epoch 164/250, loss= 8.8697e-05, time= 23.6216 
epoch 165/250, loss= 8.8328e-05, time= 23.9301 
epoch 166/250, loss= 8.8059e-05, time= 23.9135 
epoch 167/250, loss= 8.7882e-05, time= 23.4554 
epoch 168/250, loss= 8.8161e-05, time= 23.5560 
epoch 169/250, loss= 8.8653e-05, time= 23.9594 
epoch 170/250, loss= 8.8275e-05, time= 23.9048 
epoch 171/250, loss= 8.8406e-05, time= 23.4497 
epoch 172/250, loss= 8.7248e-05, time= 23.5833 
epoch 173/250, loss= 8.7287e-05, time= 23.7291 
epoch 174/250, loss= 8.6811e-05, time= 24.1314 
epoch 175/250, loss= 8.7884e-05, time= 23.3846 
epoch 176/250, loss= 8.6790e-05, time= 23.6467 
epoch 177/250, loss= 8.7471e-05, time= 23.7345 
epoch 178/250, loss= 8.7518e-05, time= 24.2018 
epoch 179/250, loss= 8.7097e-05, time= 23.3350 
epoch 180/250, loss= 8.7373e-05, time= 23.8308 
epoch 181/250, loss= 8.6896e-05, time= 23.7821 
epoch 182/250, loss= 8.7050e-05, time= 24.1114 
epoch 183/250, loss= 8.6304e-05, time= 23.2570 
epoch 184/250, loss= 8.5468e-05, time= 23.9199 
epoch 185/250, loss= 8.4666e-05, time= 23.7997 
epoch 186/250, loss= 8.4992e-05, time= 23.9257 
epoch 187/250, loss= 8.4885e-05, time= 23.3311 
