epoch 1/50, loss= 1.6424e-05, sim_loss= 4.5907e-04, seg_loss= -0.9345, smooth_loss= 3.4961e-06, time= 6.3142 
epoch 2/50, loss= 1.2463e-05, sim_loss= 4.5435e-04, seg_loss= -0.9329, smooth_loss= 3.2462e-05, time= 6.1844 
epoch 3/50, loss= 1.0440e-05, sim_loss= 4.5205e-04, seg_loss= -0.9323, smooth_loss= 5.9013e-05, time= 6.4331 
epoch 4/50, loss= 2.7914e-06, sim_loss= 4.4474e-04, seg_loss= -0.9330, smooth_loss= 7.5387e-05, time= 6.2552 
epoch 5/50, loss= -2.5865e-05, sim_loss= 4.1559e-04, seg_loss= -0.9320, smooth_loss= 3.9959e-04, time= 6.0074 
epoch 6/50, loss= -6.9977e-05, sim_loss= 3.7195e-04, seg_loss= -0.9330, smooth_loss= 1.0704e-03, time= 6.3179 
epoch 7/50, loss= -1.1234e-04, sim_loss= 3.3054e-04, seg_loss= -0.9350, smooth_loss= 2.0619e-03, time= 6.1473 
epoch 8/50, loss= -1.6237e-04, sim_loss= 2.8090e-04, seg_loss= -0.9358, smooth_loss= 2.8629e-03, time= 6.0598 
epoch 9/50, loss= -1.7958e-04, sim_loss= 2.6433e-04, seg_loss= -0.9371, smooth_loss= 3.2744e-03, time= 6.2198 
epoch 10/50, loss= -1.9990e-04, sim_loss= 2.4456e-04, seg_loss= -0.9383, smooth_loss= 3.7025e-03, time= 6.4776 
epoch 11/50, loss= -2.2098e-04, sim_loss= 2.2383e-04, seg_loss= -0.9391, smooth_loss= 4.4038e-03, time= 6.2266 
epoch 12/50, loss= -2.3910e-04, sim_loss= 2.0639e-04, seg_loss= -0.9405, smooth_loss= 5.5430e-03, time= 6.2639 
epoch 13/50, loss= -2.5318e-04, sim_loss= 1.9307e-04, seg_loss= -0.9421, smooth_loss= 6.4942e-03, time= 6.4541 
epoch 14/50, loss= -2.5670e-04, sim_loss= 1.8977e-04, seg_loss= -0.9425, smooth_loss= 7.5070e-03, time= 6.1881 
epoch 15/50, loss= -2.7187e-04, sim_loss= 1.7529e-04, seg_loss= -0.9440, smooth_loss= 8.2378e-03, time= 6.3041 
epoch 16/50, loss= -2.8607e-04, sim_loss= 1.6225e-04, seg_loss= -0.9465, smooth_loss= 9.9546e-03, time= 6.4855 
epoch 17/50, loss= -2.9581e-04, sim_loss= 1.5354e-04, seg_loss= -0.9486, smooth_loss= 1.1983e-02, time= 6.1386 
epoch 18/50, loss= -3.0020e-04, sim_loss= 1.5000e-04, seg_loss= -0.9504, smooth_loss= 1.3306e-02, time= 6.3634 
