epoch 1/100, loss= 4.7380e-04, time= 37.8317 
epoch 2/100, loss= 3.8700e-04, time= 38.5424 
epoch 3/100, loss= 2.8880e-04, time= 37.9981 
epoch 4/100, loss= 2.3980e-04, time= 37.9186 
epoch 5/100, loss= 2.1449e-04, time= 38.3314 
epoch 6/100, loss= 1.9652e-04, time= 38.0070 
epoch 7/100, loss= 1.7730e-04, time= 38.4197 
epoch 8/100, loss= 1.6526e-04, time= 37.8596 
epoch 9/100, loss= 1.5934e-04, time= 38.5516 
epoch 10/100, loss= 1.5143e-04, time= 38.0180 
epoch 11/100, loss= 1.4770e-04, time= 37.9646 
epoch 12/100, loss= 1.4309e-04, time= 38.4060 
epoch 13/100, loss= 1.3993e-04, time= 38.0267 
epoch 14/100, loss= 1.3641e-04, time= 38.5540 
epoch 15/100, loss= 1.3444e-04, time= 37.8342 
epoch 16/100, loss= 1.3194e-04, time= 38.6076 
epoch 17/100, loss= 1.2992e-04, time= 37.8488 
epoch 18/100, loss= 1.2760e-04, time= 40.4655 
epoch 19/100, loss= 1.2561e-04, time= 66.0031 
epoch 20/100, loss= 1.2399e-04, time= 66.0001 
epoch 21/100, loss= 1.2292e-04, time= 38.4615 
epoch 22/100, loss= 1.2067e-04, time= 37.9007 
epoch 23/100, loss= 1.1963e-04, time= 38.6272 
epoch 24/100, loss= 1.1864e-04, time= 37.9166 
epoch 25/100, loss= 1.1703e-04, time= 38.0343 
epoch 26/100, loss= 1.1571e-04, time= 45.3528 
epoch 27/100, loss= 1.1476e-04, time= 66.8495 
epoch 28/100, loss= 1.1405e-04, time= 70.5516 
epoch 29/100, loss= 1.1299e-04, time= 47.0717 
epoch 30/100, loss= 1.1273e-04, time= 38.3116 
epoch 31/100, loss= 1.2893e-04, time= 38.1031 
epoch 32/100, loss= 1.1316e-04, time= 38.0080 
epoch 33/100, loss= 1.1123e-04, time= 38.6639 
epoch 34/100, loss= 1.0972e-04, time= 38.0540 
epoch 35/100, loss= 1.0890e-04, time= 38.3605 
epoch 36/100, loss= 1.0822e-04, time= 38.0236 
epoch 37/100, loss= 1.0747e-04, time= 33.0652 
epoch 38/100, loss= 1.0707e-04, time= 29.6064 
epoch 39/100, loss= 1.0655e-04, time= 32.4336 
epoch 40/100, loss= 1.0563e-04, time= 38.4114 
epoch 41/100, loss= 1.0499e-04, time= 38.0754 
epoch 42/100, loss= 1.0447e-04, time= 38.3856 
epoch 43/100, loss= 1.0384e-04, time= 37.9521 
epoch 44/100, loss= 1.0397e-04, time= 38.5919 
epoch 45/100, loss= 1.0276e-04, time= 38.0555 
epoch 46/100, loss= 1.0361e-04, time= 37.9475 
epoch 47/100, loss= 1.0232e-04, time= 38.3806 
epoch 48/100, loss= 1.0231e-04, time= 38.0610 
epoch 49/100, loss= 1.0149e-04, time= 38.3681 
epoch 50/100, loss= 1.0071e-04, time= 37.9949 
epoch 51/100, loss= 1.0005e-04, time= 38.6215 
epoch 52/100, loss= 1.0093e-04, time= 38.3759 
epoch 53/100, loss= 9.9824e-05, time= 62.1759 
epoch 54/100, loss= 9.8891e-05, time= 71.5848 
epoch 55/100, loss= 9.8866e-05, time= 71.2622 
epoch 56/100, loss= 9.8282e-05, time= 72.7345 
epoch 57/100, loss= 1.0222e-04, time= 69.1315 
epoch 58/100, loss= 9.7580e-05, time= 37.9912 
epoch 59/100, loss= 9.7005e-05, time= 38.5588 
epoch 60/100, loss= 9.6595e-05, time= 37.8157 
epoch 61/100, loss= 9.6136e-05, time= 38.5713 
epoch 62/100, loss= 9.5944e-05, time= 38.0200 
epoch 63/100, loss= 1.0133e-04, time= 38.2778 
epoch 64/100, loss= 9.5679e-05, time= 38.0991 
epoch 65/100, loss= 9.5332e-05, time= 38.0495 
epoch 66/100, loss= 9.5022e-05, time= 38.3719 
epoch 67/100, loss= 9.4902e-05, time= 38.0137 
epoch 68/100, loss= 9.4372e-05, time= 38.6507 
epoch 69/100, loss= 9.3999e-05, time= 37.8511 
epoch 70/100, loss= 9.5081e-05, time= 38.3724 
epoch 71/100, loss= 9.4029e-05, time= 38.0957 
epoch 72/100, loss= 9.3481e-05, time= 38.0430 
epoch 73/100, loss= 9.3894e-05, time= 38.3665 
epoch 74/100, loss= 9.3040e-05, time= 38.0029 
epoch 75/100, loss= 9.3342e-05, time= 38.4548 
epoch 76/100, loss= 9.2355e-05, time= 37.9395 
epoch 77/100, loss= 9.3243e-05, time= 38.5602 
epoch 78/100, loss= 9.2331e-05, time= 37.8490 
epoch 79/100, loss= 9.1608e-05, time= 38.3396 
epoch 80/100, loss= 9.1493e-05, time= 38.3075 
epoch 81/100, loss= 9.1266e-05, time= 37.8866 
epoch 82/100, loss= 9.2700e-05, time= 38.6978 
epoch 83/100, loss= 9.0823e-05, time= 38.0483 
epoch 84/100, loss= 9.0727e-05, time= 38.4098 
epoch 85/100, loss= 9.0110e-05, time= 38.0860 
epoch 86/100, loss= 9.0087e-05, time= 38.9164 
epoch 87/100, loss= 9.0250e-05, time= 38.2727 
epoch 88/100, loss= 8.9998e-05, time= 38.6414 
epoch 89/100, loss= 8.9591e-05, time= 38.4784 
epoch 90/100, loss= 8.9637e-05, time= 44.8407 
epoch 91/100, loss= 9.0667e-05, time= 55.3454 
epoch 92/100, loss= 8.8982e-05, time= 37.8961 
epoch 93/100, loss= 8.8756e-05, time= 48.5655 
epoch 94/100, loss= 8.8839e-05, time= 38.1632 
epoch 95/100, loss= 8.8163e-05, time= 54.5366 
epoch 96/100, loss= 8.8017e-05, time= 64.0147 
epoch 97/100, loss= 8.8303e-05, time= 66.5532 
epoch 98/100, loss= 8.9758e-05, time= 67.3068 
epoch 99/100, loss= 8.7870e-05, time= 37.9625 
epoch 100/100, loss= 8.7448e-05, time= 38.3586
