epoch 1/30, loss= 4.7884e-04, time= 227.3862 
epoch 2/30, loss= 4.7641e-04, time= 227.3354 
epoch 3/30, loss= 4.6621e-04, time= 227.2313 
epoch 4/30, loss= 4.6600e-04, time= 227.4680 
epoch 5/30, loss= 4.4277e-04, time= 227.4335 
epoch 6/30, loss= 3.9755e-04, time= 227.0285 
epoch 7/30, loss= 3.7631e-04, time= 227.4817 
epoch 8/30, loss= 3.4315e-04, time= 227.6646 
epoch 9/30, loss= 3.0345e-04, time= 226.8882 
epoch 10/30, loss= 2.7392e-04, time= 227.0895 
epoch 11/30, loss= 2.4242e-04, time= 227.5619 
epoch 12/30, loss= 2.2208e-04, time= 227.4222 
epoch 13/30, loss= 1.9924e-04, time= 227.6616 
epoch 14/30, loss= 1.8751e-04, time= 227.0651 
epoch 15/30, loss= 1.8254e-04, time= 227.4574 
epoch 16/30, loss= 1.7804e-04, time= 227.5502 
epoch 17/30, loss= 1.6426e-04, time= 227.2495 
epoch 18/30, loss= 1.5742e-04, time= 227.3538 
epoch 19/30, loss= 1.5211e-04, time= 227.3016 
epoch 20/30, loss= 1.4654e-04, time= 227.4371 
epoch 21/30, loss= 1.4690e-04, time= 227.6914 
epoch 22/30, loss= 1.4552e-04, time= 226.8770 
epoch 23/30, loss= 1.4522e-04, time= 227.6130 
epoch 24/30, loss= 1.3852e-04, time= 227.8284 
epoch 25/30, loss= 1.3984e-04, time= 227.1489 
epoch 26/30, loss= 1.3764e-04, time= 227.2961 
epoch 27/30, loss= 1.3517e-04, time= 227.7457 
epoch 28/30, loss= 1.4081e-04, time= 227.2541 
epoch 29/30, loss= 1.3233e-04, time= 227.5650 
epoch 30/30, loss= 1.2918e-04, time= 227.3314 

